property_type,listing_type,price,area_sqft,bhk,bedrooms,floor,total_floors,property_age_years,furnishing,parking,city,amenities,title,description
apartment,sale,7450000.0,1657,2,2,11,18,14,unfurnished,1,Electronic City,parking,2 BHK Apartment for Sale in Electronic City,"Beautiful 2 BHK apartment for sale in Electronic City, Bangalore. Area: 1657 sqft. Unfurnished. Floor 11/18. Age: 14 yrs. Amenities: parking."
apartment,rent,11000.0,401,2,2,1,5,0,furnished,2,Basavanagudi,gym|clubhouse,2 BHK Apartment for Rent in Basavanagudi,"Beautiful 2 BHK apartment for rent in Basavanagudi, Bangalore. Area: 401 sqft. Furnished. Floor 1/5. Age: 0 yrs. Amenities: gym, clubhouse."
apartment,sale,10523000.0,2330,3,3,14,14,8,unfurnished,1,Electronic City,gym|swimming pool|garden|clubhouse|lift,3 BHK Apartment for Sale in Electronic City,"Beautiful 3 BHK apartment for sale in Electronic City, Bangalore. Area: 2330 sqft. Unfurnished. Floor 14/14. Age: 8 yrs. Amenities: gym, swimming pool, garden, clubhouse, lift."
apartment,sale,16393000.0,2359,4,4,6,7,7,furnished,2,Vijayanagar,power backup|garden|security|parking,4 BHK Apartment for Sale in Vijayanagar,"Beautiful 4 BHK apartment for sale in Vijayanagar, Bangalore. Area: 2359 sqft. Furnished. Floor 6/7. Age: 7 yrs. Amenities: power backup, garden, security, parking."
apartment,sale,18026000.0,1727,2,2,13,16,4,furnished,2,Rajajinagar,lift,2 BHK Apartment for Sale in Rajajinagar,"Beautiful 2 BHK apartment for sale in Rajajinagar, Bangalore. Area: 1727 sqft. Furnished. Floor 13/16. Age: 4 yrs. Amenities: lift."
apartment,sale,3712000.0,653,3,3,2,17,24,unfurnished,0,Hennur,gym|security|parking|garden|power backup,3 BHK Apartment for Sale in Hennur,"Beautiful 3 BHK apartment for sale in Hennur, Bangalore. Area: 653 sqft. Unfurnished. Floor 2/17. Age: 24 yrs. Amenities: gym, security, parking, garden, power backup."
villa,sale,24344000.0,1927,2,2,7,13,2,furnished,0,HSR Layout,gym|security|swimming pool|power backup,2 BHK Villa for Sale in HSR Layout,"Beautiful 2 BHK villa for sale in HSR Layout, Bangalore. Area: 1927 sqft. Furnished. Floor 7/13. Age: 2 yrs. Amenities: gym, security, swimming pool, power backup."
apartment,sale,18305000.0,1904,3,3,4,15,15,unfurnished,2,Koramangala,parking,3 BHK Apartment for Sale in Koramangala,"Beautiful 3 BHK apartment for sale in Koramangala, Bangalore. Area: 1904 sqft. Unfurnished. Floor 4/15. Age: 15 yrs. Amenities: parking."
villa,rent,32000.0,701,2,2,4,18,2,furnished,2,Indiranagar,lift|clubhouse|swimming pool|security|parking,2 BHK Villa for Rent in Indiranagar,"Beautiful 2 BHK villa for rent in Indiranagar, Bangalore. Area: 701 sqft. Furnished. Floor 4/18. Age: 2 yrs. Amenities: lift, clubhouse, swimming pool, security, parking."
apartment,sale,34094000.0,3301,3,3,6,7,9,semi-furnished,1,Indiranagar,security,3 BHK Apartment for Sale in Indiranagar,"Beautiful 3 BHK apartment for sale in Indiranagar, Bangalore. Area: 3301 sqft. Semi-Furnished. Floor 6/7. Age: 9 yrs. Amenities: security."
apartment,sale,34892000.0,3350,1,1,8,11,12,furnished,1,Indiranagar,clubhouse|gym|lift|garden,1 BHK Apartment for Sale in Indiranagar,"Beautiful 1 BHK apartment for sale in Indiranagar, Bangalore. Area: 3350 sqft. Furnished. Floor 8/11. Age: 12 yrs. Amenities: clubhouse, gym, lift, garden."
apartment,rent,86000.0,2891,2,2,4,4,7,furnished,0,Basavanagudi,lift|swimming pool|gym|power backup,2 BHK Apartment for Rent in Basavanagudi,"Beautiful 2 BHK apartment for rent in Basavanagudi, Bangalore. Area: 2891 sqft. Furnished. Floor 4/4. Age: 7 yrs. Amenities: lift, swimming pool, gym, power backup."
house,sale,15373000.0,2374,2,2,9,13,20,semi-furnished,2,Vijayanagar,lift,2 BHK House for Sale in Vijayanagar,"Beautiful 2 BHK house for sale in Vijayanagar, Bangalore. Area: 2374 sqft. Semi-Furnished. Floor 9/13. Age: 20 yrs. Amenities: lift."
apartment,rent,40000.0,1612,3,3,6,10,21,furnished,2,Rajajinagar,lift|clubhouse|gym,3 BHK Apartment for Rent in Rajajinagar,"Beautiful 3 BHK apartment for rent in Rajajinagar, Bangalore. Area: 1612 sqft. Furnished. Floor 6/10. Age: 21 yrs. Amenities: lift, clubhouse, gym."
apartment,sale,5412000.0,852,4,4,11,15,6,furnished,1,Marathahalli,gym|parking|clubhouse|security|garden,4 BHK Apartment for Sale in Marathahalli,"Beautiful 4 BHK apartment for sale in Marathahalli, Bangalore. Area: 852 sqft. Furnished. Floor 11/15. Age: 6 yrs. Amenities: gym, parking, clubhouse, security, garden."
apartment,rent,23000.0,915,3,3,7,13,1,furnished,2,Vijayanagar,clubhouse|garden|gym|power backup,3 BHK Apartment for Rent in Vijayanagar,"Beautiful 3 BHK apartment for rent in Vijayanagar, Bangalore. Area: 915 sqft. Furnished. Floor 7/13. Age: 1 yrs. Amenities: clubhouse, garden, gym, power backup."
plot,sale,4763000.0,1466,4,4,11,12,18,semi-furnished,2,Yelahanka,gym,4 BHK Plot for Sale in Yelahanka,"Beautiful 4 BHK plot for sale in Yelahanka, Bangalore. Area: 1466 sqft. Semi-Furnished. Floor 11/12. Age: 18 yrs. Amenities: gym."
apartment,sale,9553000.0,812,3,3,7,10,24,furnished,0,Jayanagar,power backup,3 BHK Apartment for Sale in Jayanagar,"Beautiful 3 BHK apartment for sale in Jayanagar, Bangalore. Area: 812 sqft. Furnished. Floor 7/10. Age: 24 yrs. Amenities: power backup."
apartment,rent,92000.0,3661,2,2,4,15,16,unfurnished,0,HSR Layout,security,2 BHK Apartment for Rent in HSR Layout,"Beautiful 2 BHK apartment for rent in HSR Layout, Bangalore. Area: 3661 sqft. Unfurnished. Floor 4/15. Age: 16 yrs. Amenities: security."
house,sale,24543000.0,3704,1,1,2,13,8,unfurnished,1,Bellandur,security|power backup|gym|lift,1 BHK House for Sale in Bellandur,"Beautiful 1 BHK house for sale in Bellandur, Bangalore. Area: 3704 sqft. Unfurnished. Floor 2/13. Age: 8 yrs. Amenities: security, power backup, gym, lift."
plot,rent,21000.0,1465,1,1,9,15,13,unfurnished,1,HSR Layout,security|gym|swimming pool|clubhouse|lift,1 BHK Plot for Rent in HSR Layout,"Beautiful 1 BHK plot for rent in HSR Layout, Bangalore. Area: 1465 sqft. Unfurnished. Floor 9/15. Age: 13 yrs. Amenities: security, gym, swimming pool, clubhouse, lift."
house,rent,38000.0,1597,3,3,12,19,9,furnished,1,JP Nagar,parking|security|power backup,3 BHK House for Rent in JP Nagar,"Beautiful 3 BHK house for rent in JP Nagar, Bangalore. Area: 1597 sqft. Furnished. Floor 12/19. Age: 9 yrs. Amenities: parking, security, power backup."
apartment,rent,11000.0,616,4,4,12,15,3,semi-furnished,2,Bellandur,lift|gym|power backup,4 BHK Apartment for Rent in Bellandur,"Beautiful 4 BHK apartment for rent in Bellandur, Bangalore. Area: 616 sqft. Semi-Furnished. Floor 12/15. Age: 3 yrs. Amenities: lift, gym, power backup."
apartment,sale,22902000.0,2083,3,3,11,18,8,unfurnished,0,Indiranagar,swimming pool|power backup|lift,3 BHK Apartment for Sale in Indiranagar,"Beautiful 3 BHK apartment for sale in Indiranagar, Bangalore. Area: 2083 sqft. Unfurnished. Floor 11/18. Age: 8 yrs. Amenities: swimming pool, power backup, lift."
apartment,rent,35000.0,2620,4,4,12,18,20,semi-furnished,0,Electronic City,clubhouse|swimming pool|gym,4 BHK Apartment for Rent in Electronic City,"Beautiful 4 BHK apartment for rent in Electronic City, Bangalore. Area: 2620 sqft. Semi-Furnished. Floor 12/18. Age: 20 yrs. Amenities: clubhouse, swimming pool, gym."
villa,sale,41721000.0,3730,3,3,6,14,10,semi-furnished,1,Basavanagudi,gym|parking|clubhouse|power backup,3 BHK Villa for Sale in Basavanagudi,"Beautiful 3 BHK villa for sale in Basavanagudi, Bangalore. Area: 3730 sqft. Semi-Furnished. Floor 6/14. Age: 10 yrs. Amenities: gym, parking, clubhouse, power backup."
apartment,sale,28303000.0,2346,2,2,5,19,16,furnished,0,Malleswaram,parking|clubhouse|swimming pool|gym|power backup,2 BHK Apartment for Sale in Malleswaram,"Beautiful 2 BHK apartment for sale in Malleswaram, Bangalore. Area: 2346 sqft. Furnished. Floor 5/19. Age: 16 yrs. Amenities: parking, clubhouse, swimming pool, gym, power backup."
apartment,sale,4338000.0,409,4,4,7,8,12,furnished,2,Malleswaram,security,4 BHK Apartment for Sale in Malleswaram,"Beautiful 4 BHK apartment for sale in Malleswaram, Bangalore. Area: 409 sqft. Furnished. Floor 7/8. Age: 12 yrs. Amenities: security."
house,sale,7535000.0,784,2,2,4,19,22,semi-furnished,0,Basavanagudi,swimming pool|security|lift|gym|parking,2 BHK House for Sale in Basavanagudi,"Beautiful 2 BHK house for sale in Basavanagudi, Bangalore. Area: 784 sqft. Semi-Furnished. Floor 4/19. Age: 22 yrs. Amenities: swimming pool, security, lift, gym, parking."
house,sale,19165000.0,2301,2,2,0,18,12,furnished,1,JP Nagar,lift,2 BHK House for Sale in JP Nagar,"Beautiful 2 BHK house for sale in JP Nagar, Bangalore. Area: 2301 sqft. Furnished. Floor 0/18. Age: 12 yrs. Amenities: lift."
house,sale,10826000.0,1162,3,3,8,8,15,unfurnished,2,Malleswaram,gym|power backup|security|lift|parking,3 BHK House for Sale in Malleswaram,"Beautiful 3 BHK house for sale in Malleswaram, Bangalore. Area: 1162 sqft. Unfurnished. Floor 8/8. Age: 15 yrs. Amenities: gym, power backup, security, lift, parking."
apartment,sale,37620000.0,3306,2,2,2,3,19,furnished,1,Koramangala,garden,2 BHK Apartment for Sale in Koramangala,"Beautiful 2 BHK apartment for sale in Koramangala, Bangalore. Area: 3306 sqft. Furnished. Floor 2/3. Age: 19 yrs. Amenities: garden."
plot,sale,18272000.0,3431,2,2,4,5,5,furnished,1,JP Nagar,swimming pool|gym|security|garden|lift,2 BHK Plot for Sale in JP Nagar,"Beautiful 2 BHK plot for sale in JP Nagar, Bangalore. Area: 3431 sqft. Furnished. Floor 4/5. Age: 5 yrs. Amenities: swimming pool, gym, security, garden, lift."
apartment,sale,5421000.0,759,3,3,3,5,2,unfurnished,0,Rajajinagar,lift|power backup,3 BHK Apartment for Sale in Rajajinagar,"Beautiful 3 BHK apartment for sale in Rajajinagar, Bangalore. Area: 759 sqft. Unfurnished. Floor 3/5. Age: 2 yrs. Amenities: lift, power backup."
apartment,sale,12567000.0,2993,2,2,0,13,12,unfurnished,0,Electronic City,swimming pool|security,2 BHK Apartment for Sale in Electronic City,"Beautiful 2 BHK apartment for sale in Electronic City, Bangalore. Area: 2993 sqft. Unfurnished. Floor 0/13. Age: 12 yrs. Amenities: swimming pool, security."
apartment,sale,4819000.0,702,4,4,14,19,13,semi-furnished,2,Whitefield,power backup|gym,4 BHK Apartment for Sale in Whitefield,"Beautiful 4 BHK apartment for sale in Whitefield, Bangalore. Area: 702 sqft. Semi-Furnished. Floor 14/19. Age: 13 yrs. Amenities: power backup, gym."
villa,sale,30771000.0,3253,3,3,2,16,24,unfurnished,0,Banashankari,garden|security|lift|parking,3 BHK Villa for Sale in Banashankari,"Beautiful 3 BHK villa for sale in Banashankari, Bangalore. Area: 3253 sqft. Unfurnished. Floor 2/16. Age: 24 yrs. Amenities: garden, security, lift, parking."
apartment,sale,4909000.0,632,2,2,12,13,14,unfurnished,1,Basavanagudi,clubhouse|garden,2 BHK Apartment for Sale in Basavanagudi,"Beautiful 2 BHK apartment for sale in Basavanagudi, Bangalore. Area: 632 sqft. Unfurnished. Floor 12/13. Age: 14 yrs. Amenities: clubhouse, garden."
apartment,sale,28145000.0,3848,2,2,0,5,5,unfurnished,1,Koramangala,swimming pool|garden|security,2 BHK Apartment for Sale in Koramangala,"Beautiful 2 BHK apartment for sale in Koramangala, Bangalore. Area: 3848 sqft. Unfurnished. Floor 0/5. Age: 5 yrs. Amenities: swimming pool, garden, security."
plot,sale,9245000.0,2155,2,2,10,13,14,semi-furnished,1,Marathahalli,security,2 BHK Plot for Sale in Marathahalli,"Beautiful 2 BHK plot for sale in Marathahalli, Bangalore. Area: 2155 sqft. Semi-Furnished. Floor 10/13. Age: 14 yrs. Amenities: security."
house,sale,25136000.0,3283,4,4,2,2,19,furnished,2,Vijayanagar,security,4 BHK House for Sale in Vijayanagar,"Beautiful 4 BHK house for sale in Vijayanagar, Bangalore. Area: 3283 sqft. Furnished. Floor 2/2. Age: 19 yrs. Amenities: security."
apartment,sale,3273000.0,660,2,2,6,15,11,semi-furnished,0,Yelahanka,swimming pool|parking,2 BHK Apartment for Sale in Yelahanka,"Beautiful 2 BHK apartment for sale in Yelahanka, Bangalore. Area: 660 sqft. Semi-Furnished. Floor 6/15. Age: 11 yrs. Amenities: swimming pool, parking."
apartment,sale,16767000.0,2765,4,4,11,12,13,furnished,2,Electronic City,power backup,4 BHK Apartment for Sale in Electronic City,"Beautiful 4 BHK apartment for sale in Electronic City, Bangalore. Area: 2765 sqft. Furnished. Floor 11/12. Age: 13 yrs. Amenities: power backup."
house,rent,28000.0,1714,3,3,4,8,4,unfurnished,2,Bannerghatta Road,parking|power backup,3 BHK House for Rent in Bannerghatta Road,"Beautiful 3 BHK house for rent in Bannerghatta Road, Bangalore. Area: 1714 sqft. Unfurnished. Floor 4/8. Age: 4 yrs. Amenities: parking, power backup."
villa,rent,102000.0,2288,3,3,6,6,24,furnished,0,Jayanagar,power backup|gym,3 BHK Villa for Rent in Jayanagar,"Beautiful 3 BHK villa for rent in Jayanagar, Bangalore. Area: 2288 sqft. Furnished. Floor 6/6. Age: 24 yrs. Amenities: power backup, gym."
villa,sale,12271000.0,1712,3,3,3,9,3,furnished,1,Bannerghatta Road,security,3 BHK Villa for Sale in Bannerghatta Road,"Beautiful 3 BHK villa for sale in Bannerghatta Road, Bangalore. Area: 1712 sqft. Furnished. Floor 3/9. Age: 3 yrs. Amenities: security."
house,rent,87000.0,3253,2,2,12,18,14,furnished,2,Koramangala,parking|swimming pool|gym|clubhouse|security,2 BHK House for Rent in Koramangala,"Beautiful 2 BHK house for rent in Koramangala, Bangalore. Area: 3253 sqft. Furnished. Floor 12/18. Age: 14 yrs. Amenities: parking, swimming pool, gym, clubhouse, security."
villa,sale,23661000.0,2516,2,2,3,13,9,semi-furnished,1,Vijayanagar,lift|power backup,2 BHK Villa for Sale in Vijayanagar,"Beautiful 2 BHK villa for sale in Vijayanagar, Bangalore. Area: 2516 sqft. Semi-Furnished. Floor 3/13. Age: 9 yrs. Amenities: lift, power backup."
villa,sale,32656000.0,3455,1,1,3,7,23,furnished,2,BTM Layout,power backup|garden,1 BHK Villa for Sale in BTM Layout,"Beautiful 1 BHK villa for sale in BTM Layout, Bangalore. Area: 3455 sqft. Furnished. Floor 3/7. Age: 23 yrs. Amenities: power backup, garden."
plot,sale,17409000.0,3876,1,1,9,12,21,unfurnished,0,Hebbal,swimming pool,1 BHK Plot for Sale in Hebbal,"Beautiful 1 BHK plot for sale in Hebbal, Bangalore. Area: 3876 sqft. Unfurnished. Floor 9/12. Age: 21 yrs. Amenities: swimming pool."
house,sale,14589000.0,2691,1,1,8,17,10,semi-furnished,1,Hennur,power backup|garden,1 BHK House for Sale in Hennur,"Beautiful 1 BHK house for sale in Hennur, Bangalore. Area: 2691 sqft. Semi-Furnished. Floor 8/17. Age: 10 yrs. Amenities: power backup, garden."
apartment,sale,34948000.0,3972,2,2,7,7,16,furnished,2,Vijayanagar,garden|parking|lift,2 BHK Apartment for Sale in Vijayanagar,"Beautiful 2 BHK apartment for sale in Vijayanagar, Bangalore. Area: 3972 sqft. Furnished. Floor 7/7. Age: 16 yrs. Amenities: garden, parking, lift."
apartment,sale,17376000.0,2124,1,1,7,7,6,furnished,0,Hebbal,swimming pool|power backup|security,1 BHK Apartment for Sale in Hebbal,"Beautiful 1 BHK apartment for sale in Hebbal, Bangalore. Area: 2124 sqft. Furnished. Floor 7/7. Age: 6 yrs. Amenities: swimming pool, power backup, security."
apartment,sale,18291000.0,3457,3,3,1,17,17,semi-furnished,1,Bannerghatta Road,swimming pool|clubhouse|lift,3 BHK Apartment for Sale in Bannerghatta Road,"Beautiful 3 BHK apartment for sale in Bannerghatta Road, Bangalore. Area: 3457 sqft. Semi-Furnished. Floor 1/17. Age: 17 yrs. Amenities: swimming pool, clubhouse, lift."
house,sale,3810000.0,454,3,3,11,12,6,furnished,0,JP Nagar,clubhouse,3 BHK House for Sale in JP Nagar,"Beautiful 3 BHK house for sale in JP Nagar, Bangalore. Area: 454 sqft. Furnished. Floor 11/12. Age: 6 yrs. Amenities: clubhouse."
house,sale,27805000.0,2543,3,3,7,14,13,unfurnished,0,Indiranagar,garden|security|gym|parking|lift,3 BHK House for Sale in Indiranagar,"Beautiful 3 BHK house for sale in Indiranagar, Bangalore. Area: 2543 sqft. Unfurnished. Floor 7/14. Age: 13 yrs. Amenities: garden, security, gym, parking, lift."
apartment,sale,7558000.0,913,2,2,0,14,4,unfurnished,1,Rajajinagar,lift|swimming pool,2 BHK Apartment for Sale in Rajajinagar,"Beautiful 2 BHK apartment for sale in Rajajinagar, Bangalore. Area: 913 sqft. Unfurnished. Floor 0/14. Age: 4 yrs. Amenities: lift, swimming pool."
apartment,sale,26553000.0,3301,4,4,11,18,16,semi-furnished,1,Hebbal,security|garden|lift,4 BHK Apartment for Sale in Hebbal,"Beautiful 4 BHK apartment for sale in Hebbal, Bangalore. Area: 3301 sqft. Semi-Furnished. Floor 11/18. Age: 16 yrs. Amenities: security, garden, lift."
villa,sale,39826000.0,3706,1,1,13,16,12,semi-furnished,2,Koramangala,lift|security|gym|power backup|garden,1 BHK Villa for Sale in Koramangala,"Beautiful 1 BHK villa for sale in Koramangala, Bangalore. Area: 3706 sqft. Semi-Furnished. Floor 13/16. Age: 12 yrs. Amenities: lift, security, gym, power backup, garden."
villa,rent,16000.0,741,2,2,4,14,24,unfurnished,1,Marathahalli,power backup|parking|clubhouse,2 BHK Villa for Rent in Marathahalli,"Beautiful 2 BHK villa for rent in Marathahalli, Bangalore. Area: 741 sqft. Unfurnished. Floor 4/14. Age: 24 yrs. Amenities: power backup, parking, clubhouse."
apartment,sale,18210000.0,1999,2,2,1,11,0,unfurnished,0,Basavanagudi,gym|power backup|security|lift,2 BHK Apartment for Sale in Basavanagudi,"Beautiful 2 BHK apartment for sale in Basavanagudi, Bangalore. Area: 1999 sqft. Unfurnished. Floor 1/11. Age: 0 yrs. Amenities: gym, power backup, security, lift."
villa,rent,133000.0,3111,2,2,5,10,4,furnished,1,Jayanagar,swimming pool|gym|garden|lift,2 BHK Villa for Rent in Jayanagar,"Beautiful 2 BHK villa for rent in Jayanagar, Bangalore. Area: 3111 sqft. Furnished. Floor 5/10. Age: 4 yrs. Amenities: swimming pool, gym, garden, lift."
apartment,sale,16507000.0,2520,2,2,8,15,16,furnished,0,Bellandur,security|clubhouse|power backup|garden|lift,2 BHK Apartment for Sale in Bellandur,"Beautiful 2 BHK apartment for sale in Bellandur, Bangalore. Area: 2520 sqft. Furnished. Floor 8/15. Age: 16 yrs. Amenities: security, clubhouse, power backup, garden, lift."
apartment,sale,26517000.0,3515,2,2,10,10,16,semi-furnished,0,Vijayanagar,swimming pool,2 BHK Apartment for Sale in Vijayanagar,"Beautiful 2 BHK apartment for sale in Vijayanagar, Bangalore. Area: 3515 sqft. Semi-Furnished. Floor 10/10. Age: 16 yrs. Amenities: swimming pool."
villa,rent,33000.0,1512,2,2,11,19,12,semi-furnished,2,Marathahalli,security|parking,2 BHK Villa for Rent in Marathahalli,"Beautiful 2 BHK villa for rent in Marathahalli, Bangalore. Area: 1512 sqft. Semi-Furnished. Floor 11/19. Age: 12 yrs. Amenities: security, parking."
villa,sale,17616000.0,1921,4,4,10,16,17,unfurnished,1,BTM Layout,security|gym|garden|clubhouse,4 BHK Villa for Sale in BTM Layout,"Beautiful 4 BHK villa for sale in BTM Layout, Bangalore. Area: 1921 sqft. Unfurnished. Floor 10/16. Age: 17 yrs. Amenities: security, gym, garden, clubhouse."
apartment,sale,17608000.0,1594,3,3,7,16,22,unfurnished,2,Indiranagar,parking,3 BHK Apartment for Sale in Indiranagar,"Beautiful 3 BHK apartment for sale in Indiranagar, Bangalore. Area: 1594 sqft. Unfurnished. Floor 7/16. Age: 22 yrs. Amenities: parking."
house,sale,7062000.0,945,2,2,13,15,22,furnished,0,JP Nagar,clubhouse|garden,2 BHK House for Sale in JP Nagar,"Beautiful 2 BHK house for sale in JP Nagar, Bangalore. Area: 945 sqft. Furnished. Floor 13/15. Age: 22 yrs. Amenities: clubhouse, garden."
villa,rent,18000.0,665,4,4,13,13,6,furnished,0,Sarjapur Road,gym,4 BHK Villa for Rent in Sarjapur Road,"Beautiful 4 BHK villa for rent in Sarjapur Road, Bangalore. Area: 665 sqft. Furnished. Floor 13/13. Age: 6 yrs. Amenities: gym."
apartment,rent,84000.0,3264,2,2,8,15,3,unfurnished,1,Rajajinagar,gym|power backup|clubhouse|swimming pool|security,2 BHK Apartment for Rent in Rajajinagar,"Beautiful 2 BHK apartment for rent in Rajajinagar, Bangalore. Area: 3264 sqft. Unfurnished. Floor 8/15. Age: 3 yrs. Amenities: gym, power backup, clubhouse, swimming pool, security."
plot,rent,12000.0,1171,3,3,10,17,19,furnished,2,Yelahanka,security|gym|power backup|lift|swimming pool,3 BHK Plot for Rent in Yelahanka,"Beautiful 3 BHK plot for rent in Yelahanka, Bangalore. Area: 1171 sqft. Furnished. Floor 10/17. Age: 19 yrs. Amenities: security, gym, power backup, lift, swimming pool."
plot,rent,9000.0,453,3,3,14,14,8,unfurnished,1,Basavanagudi,gym,3 BHK Plot for Rent in Basavanagudi,"Beautiful 3 BHK plot for rent in Basavanagudi, Bangalore. Area: 453 sqft. Unfurnished. Floor 14/14. Age: 8 yrs. Amenities: gym."
house,sale,23076000.0,2430,2,2,8,16,3,semi-furnished,0,Indiranagar,swimming pool|garden,2 BHK House for Sale in Indiranagar,"Beautiful 2 BHK house for sale in Indiranagar, Bangalore. Area: 2430 sqft. Semi-Furnished. Floor 8/16. Age: 3 yrs. Amenities: swimming pool, garden."
house,rent,84000.0,3732,3,3,10,11,23,unfurnished,1,Koramangala,parking|clubhouse|gym,3 BHK House for Rent in Koramangala,"Beautiful 3 BHK house for rent in Koramangala, Bangalore. Area: 3732 sqft. Unfurnished. Floor 10/11. Age: 23 yrs. Amenities: parking, clubhouse, gym."
apartment,rent,77000.0,2562,2,2,9,11,23,semi-furnished,2,Basavanagudi,swimming pool|lift|power backup|security|parking,2 BHK Apartment for Rent in Basavanagudi,"Beautiful 2 BHK apartment for rent in Basavanagudi, Bangalore. Area: 2562 sqft. Semi-Furnished. Floor 9/11. Age: 23 yrs. Amenities: swimming pool, lift, power backup, security, parking."
apartment,sale,4529000.0,755,4,4,14,16,5,unfurnished,0,Hebbal,clubhouse|power backup|security,4 BHK Apartment for Sale in Hebbal,"Beautiful 4 BHK apartment for sale in Hebbal, Bangalore. Area: 755 sqft. Unfurnished. Floor 14/16. Age: 5 yrs. Amenities: clubhouse, power backup, security."
apartment,rent,52000.0,3729,1,1,13,17,11,unfurnished,1,Yelahanka,security|swimming pool|power backup|garden|lift,1 BHK Apartment for Rent in Yelahanka,"Beautiful 1 BHK apartment for rent in Yelahanka, Bangalore. Area: 3729 sqft. Unfurnished. Floor 13/17. Age: 11 yrs. Amenities: security, swimming pool, power backup, garden, lift."
house,sale,7326000.0,985,3,3,8,9,14,semi-furnished,0,Bellandur,gym|garden|parking|swimming pool|lift,3 BHK House for Sale in Bellandur,"Beautiful 3 BHK house for sale in Bellandur, Bangalore. Area: 985 sqft. Semi-Furnished. Floor 8/9. Age: 14 yrs. Amenities: gym, garden, parking, swimming pool, lift."
apartment,sale,25293000.0,2657,3,3,1,14,14,furnished,2,Basavanagudi,clubhouse|swimming pool|gym,3 BHK Apartment for Sale in Basavanagudi,"Beautiful 3 BHK apartment for sale in Basavanagudi, Bangalore. Area: 2657 sqft. Furnished. Floor 1/14. Age: 14 yrs. Amenities: clubhouse, swimming pool, gym."
apartment,sale,7551000.0,1137,2,2,12,15,16,unfurnished,0,Vijayanagar,security,2 BHK Apartment for Sale in Vijayanagar,"Beautiful 2 BHK apartment for sale in Vijayanagar, Bangalore. Area: 1137 sqft. Unfurnished. Floor 12/15. Age: 16 yrs. Amenities: security."
